pdb_id,chain_a,chain_b,molecule_a,molecule_b
1AZZ,A,C,COLLAGENASE,ECOTIN
1AVW,A,B,TRYPSIN,TRYPSIN INHIBITOR
1SMF,E,I,TRYPSIN,BOWMAN-BIRK TYPE TRYPSIN INHIBITOR
1AVX,A,B,TRYPSIN,TRYPSIN INHIBITOR
1TX6,A,I,Trypsin,Bowman-Birk type trypsin inhibitor
2ILN,A,I,Cationic trypsin,Bowman-Birk type proteinase inhibitor
1TPA,E,I,ANHYDRO-TRYPSIN,BOVINE PANCREATIC TRYPSIN INHIBITOR
1PPE,E,I,TRYPSIN,TRYPSIN INHIBITOR CMTI-I
1ZR0,A,B,Cationic trypsin,Tissue factor pathway inhibitor 2
1MCT,A,I,BETA-TRYPSIN,TRYPSIN INHIBITOR A
3RDZ,A,C,Cationic trypsin,BWI-1=PROTEASE inhibitor/trypsin inhibitor
2R9P,A,E,Trypsin-3,Pancreatic trypsin inhibitor
1F2S,E,I,TRYPSIN,TRYPSIN INHIBITOR A
2PTC,E,I,BETA-TRYPSIN,TRYPSIN INHIBITOR
2BTC,E,I,PROTEIN (TRYPSIN),PROTEIN (TRYPSIN INHIBITOR)
3T62,A,D,Chymotrypsinogen A,Kunitz-type proteinase inhibitor SHPI-1
1TAB,E,I,TRYPSIN,BOWMAN-BIRK TYPE PROTEINASE INHIBITOR
2STA,E,I,PROTEIN (TRYPSIN),PROTEIN (TRYPSIN INHIBITOR)
1EZS,A,C,ECOTIN,"TRYPSIN II, ANIONIC"
3MYW,A,I,Trypsin,Bowman-Birk type trypsin inhibitor
