pdb_id,chain_a,chain_b,molecule_a,molecule_b
1OQO,A,C,immunoglobulin gamma-1 heavy chain constant region,Minimized version of Protein A (Z34C)
1L6X,A,B,IMMUNOGLOBULIN GAMMA-1 HEAVY CHAIN CONSTANT REGION,Minimized B-domain of Protein A Z34C
4ZNE,A,E,High affinity immunoglobulin gamma Fc receptor I,Ig gamma-1 chain C region
3AY4,A,C,Ig gamma-1 chain C region,Low affinity immunoglobulin gamma Fc region receptor III-A
4W4O,A,C,Ig gamma-1 chain C region,High affinity immunoglobulin gamma Fc receptor I
3SGK,A,C,Fc fragment,human Fcg3a receptor
3SGJ,A,C,human Fc fragment,human Fcg3a receptor
6EAQ,A,C,Immunoglobulin gamma-1 heavy chain,Low affinity immunoglobulin gamma Fc region receptor III-B
5U52,A,E,IGG1 FC,Mini Z domain
5VU0,A,C,Immunoglobulin gamma-1 heavy chain,Low affinity immunoglobulin gamma Fc region receptor III-A
5M3V,A,B,"Ig gamma-1 chain C region,Ig gamma-3 chain C region",Ig gamma-1 chain C region
5XJE,A,C,Immunoglobulin gamma-1 heavy chain,Low affinity immunoglobulin gamma Fc region receptor III-A
8DIN,A,C,Ig gamma-1 Fc chain,High affinity immunoglobulin gamma Fc receptor I
8DIR,A,C,Ig gamma-1 Fc chain,High affinity immunoglobulin gamma Fc receptor I
5XJF,A,C,Immunoglobulin gamma-1 heavy chain,Low affinity immunoglobulin gamma Fc region receptor III-A
8DJ7,A,C,Ig gamma-1 Fc chain,High affinity immunoglobulin gamma Fc receptor I
1KEG,L,H,Anti-(6-4) photoproduct antibody 64M-2 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-2 Fab (heavy chain)
7URU,A,C,Immunoglobulin gamma-1 heavy chain,Low affinity immunoglobulin gamma Fc region receptor III-A
1MNU,L,H,PROTEIN (IGG2A-KAPPA ANTIBODY MN12H2 (LIGHT CHAIN)),PROTEIN (IGG2A-KAPPA ANTIBODY MN12H2 (HEAVY CHAIN))
