pdb_id,chain_a,chain_b,molecule_a,molecule_b
2O9V,A,B,Ponsin,Paxillin
4Z0D,A,C,Apical membrane antigen 1,Rhoptry neck protein 2
4Z0E,A,C,Apical membrane antigen 1,Rhoptry neck protein 2
4Z0F,A,C,Apical membrane antigen 1,Rhoptry neck protein 2
1EVH,A,B,PROTEIN (MENA EVH1 DOMAIN),Peptide ACTA
7D2S,A,B,Ras suppressor protein 1,LIM and senescent cell antigen-like-containing domain protein 1
2VZD,A,C,ALPHA-PARVIN,PAXILLIN
1JTD,A,B,TEM-1 beta-lactamase,beta-lactamase inhibitor protein II
2VZG,A,B,Paxillin,Alpha-parvin
2VZI,A,B,"Paxillin,Paxillin",Alpha-parvin
4Z09,A,C,Apical membrane antigen 1,Rhoptry neck protein 2
5W93,A,D,Breast cancer anti-estrogen resistance protein 1,Paxillin
1SEM,A,C,SEM-5,10-RESIDUE PROLINE-RICH PEPTIDE FROM MSOS (ACE-PRO-PRO-PRO-VAL-PRO-PRO-ARG-ARG-ARG)
7D2T,A,B,Ras suppressor protein 1,LIM and senescent cell antigen-like-containing domain protein 1
3MAT,A,I,METHIONINE AMINOPEPTIDASE,bestatin-based inhibitor (3R)-amino-(2S)-hydroxyheptanoyl-l-Ala-l-Leu-l-Val-l-Phe-OMe
4HI8,A,B,Integrin-linked protein kinase,LIM and senescent cell antigen-like-containing domain protein 1
3F6Q,A,B,Integrin-linked protein kinase,LIM and senescent cell antigen-like-containing domain protein 1
4HI9,A,B,Integrin-linked protein kinase,LIM and senescent cell antigen-like-containing domain protein 1
3RQG,A,E,Programmed cell death protein 10,Paxillin LD4 peptide
6PW8,A,B,Focal adhesion kinase 1,SP3
3IXE,A,B,Integrin-linked protein kinase,LIM and senescent cell antigen-like-containing domain protein 2
9F6S,A,B,PDZ and LIM domain protein 5,AP2-associated protein kinase 1
1JTG,A,B,BETA-LACTAMASE TEM,BETA-LACTAMASE INHIBITORY PROTEIN
2B5R,A,C,Beta-lactamase TEM,Beta-lactamase inhibitory protein
7OB5,A,P,14-3-3 protein sigma,LDB1 phosphopeptide
