pdb_id,chain_a,chain_b,molecule_a,molecule_b
6IF2,B,A,Ras-related protein Rab-35,Iporin
1Z0K,A,B,GTP-binding protein,FYVE-finger-containing Rab5 effector protein rabenosyn-5
3SFV,A,B,Ras-related protein Rab-1A,"LidA protein, substrate of the Dot/Icm system"
1Z0J,A,B,Ras-related protein Rab-22A,FYVE-finger-containing Rab5 effector protein rabenosyn-5
8ALK,A,B,Phosphocholine hydrolase Lem3,Ras-related protein Rab-1B
3DDC,A,B,GTPase HRas,Ras association domain-containing family protein 5
7BWT,A,B,SPI-1 type III secretion system effector SopD,Ras-related protein Rab-8A
6IF3,A,B,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Ras-related protein Rab-35
5WPM,A,B,GTPase KRas,Ras binding peptide
5WHB,A,B,GTPase KRas,Ras binder peptide: 225-11 (A30R)
7E1T,A,C,Ras-related protein Rab-9A,Isoform 2 of Nuclear distribution protein nudE homolog 1
5WHE,A,B,GTPase KRas,Miniprotein 225-11
5WHA,A,B,GTPase KRas,miniprotein 225-11
3TW8,A,B,DENN domain-containing protein 1B,Ras-related protein Rab-35
4DXA,A,B,Ras-related protein Rap-1b,Krev interaction trapped protein 1
3TKL,A,B,Ras-related protein Rab-1A,"LidA protein, substrate of the Dot/Icm system"
4OH8,A,B,Serine/threonine-protein kinase 4,Ras association domain-containing protein 5
1DS6,A,B,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2,RHO GDP-DISSOCIATION INHIBITOR 2
1TU3,A,F,Ras-related protein Rab-5A,Rab GTPase binding effector protein 1
6II6,A,C,Putative RTX-toxin,ADP-ribosylation factor 3
5IMK,B,A,Nanobody,V-set and immunoglobulin domain-containing protein 4
5IML,A,B,V-set and immunoglobulin domain-containing protein 4,Nanobody
