pdb_id,chain_a,chain_b,molecule_a,molecule_b
2REX,A,B,Plexin-B1,Rho-related GTP-binding protein Rho6
7TZK,A,C,Epidermal growth factor receptor kinase substrate 8,T3SS secreted effector NleH homolog
1DS6,A,B,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2,RHO GDP-DISSOCIATION INHIBITOR 2
3L4Q,A,C,Non-structural protein 1,Phosphatidylinositol 3-kinase regulatory subunit beta
5EU0,A,B,Bartonella effector protein (Bep) substrate of VirB T4SS,antitoxin 1
3U7D,A,B,Krev interaction trapped protein 1,Protein HEG homolog 1
7Y4A,A,B,Rho-related GTP-binding protein RhoG,Engulfment and cell motility protein 1
6II6,A,C,Putative RTX-toxin,ADP-ribosylation factor 3
2J59,A,M,ADP-RIBOSYLATION FACTOR 1,RHO-GTPASE ACTIVATING PROTEIN 10
1G4U,S,R,PROTEIN TYROSINE PHOSPHATASE SPTP,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1
1CXZ,A,B,PROTEIN (HIS-TAGGED TRANSFORMING PROTEIN RHOA(0-181)),PROTEIN (PKN)
6IF2,B,A,Ras-related protein Rab-35,Iporin
1Z0K,A,B,GTP-binding protein,FYVE-finger-containing Rab5 effector protein rabenosyn-5
4DID,A,B,Cell division control protein 42 homolog,Inositol phosphate phosphatase sopB
1Z0J,A,B,Ras-related protein Rab-22A,FYVE-finger-containing Rab5 effector protein rabenosyn-5
6IF3,A,B,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",Ras-related protein Rab-35
7Q43,A,B,E3 ubiquitin-protein ligase HERC2,Dedicator of cytokinesis protein 10 peptide
8I5W,A,B,Dedicator of cytokinesis protein 10,Ras-related C3 botulinum toxin substrate 1
8I5V,A,B,Dedicator of cytokinesis protein 10,Ras-related C3 botulinum toxin substrate 1
7E1T,A,C,Ras-related protein Rab-9A,Isoform 2 of Nuclear distribution protein nudE homolog 1
2VRW,A,B,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1,PROTO-ONCOGENE VAV
1HE1,A,C,EXOENZYME S,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1
2FJU,A,B,Ras-related C3 botulinum toxin substrate 1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta 2"
3DOE,A,B,ADP-ribosylation factor-like protein 2,ADP-ribosylation factor-like protein 2-binding protein
3LWN,A,F,Transforming protein RhoA,IpgB2
