pdb_id,chain_a,chain_b,molecule_a,molecule_b
9PUE,A,P,AP-2 complex subunit alpha-2,Coiled-coil domain-containing protein 32
9PPP,A,P,AP-2 complex subunit alpha-2,Coiled-coil domain-containing protein 32
2YMT,A,B,AP-1 COMPLEX SUBUNIT GAMMA-LIKE 2,PHAGE DISPLAY DERIVED GAMMA 2 ADAPTIN EAR DOMAIN BINDING PEPTIDE
9DDT,A,B,Alpha- and gamma-adaptin-binding protein p34,AP-1 complex subunit sigma-3
1KYD,A,P,ALPHA-ADAPTIN C,EH domain-binding mitotic phosphoprotein
4IKN,A,B,AP-3 complex subunit mu-1,Trans-Golgi network integral membrane protein TGN38
1KY6,A,P,ALPHA-ADAPTIN C,EH DOMAIN BINDING PROTEIN EPSIN
1KY7,A,P,ALPHA-ADAPTIN C,AMPHIPHYSIN
1KYF,A,P,ALPHA-ADAPTIN C,Epidermal growth factor receptor substrate 15
7OHI,A,B,AP-2 complex subunit alpha-2,F-BAR domain only protein 1
1KYU,A,P,ALPHA-ADAPTIN C,EPIDERMAL GROWTH FACTOR RECEPTOR SUBSTRATE 15
1I31,A,P,CLATHRIN COAT ASSEMBLY PROTEIN AP50,EPIDERMAL GROWTH FACTOR RECEPTOR
3ZHF,A,B,AP-1 COMPLEX SUBUNIT GAMMA-LIKE 2,LARGE ENVELOPE PROTEIN
3HS8,A,P,"Adaptor protein complex AP-2, alpha 2 subunit","peptide from Intersectin-1, residues 840-851"
2IV9,A,P,AP-2 COMPLEX SUBUNIT BETA-2,EPIDERMAL GROWTH FACTOR RECEPTOR SUBSTRATE 15 ISOFORM B
3O2H,A,B,ATP-dependent Clp protease adaptor protein ClpS,DNA protection during starvation protein
3G19,A,C,ATP-dependent Clp protease adapter protein clpS,LLL tripeptide
3H1Z,A,P,AP-2 complex subunit beta-1,Phosphatidylinositol-4-phosphate 5-kinase type-1 gamma
3GQ1,A,C,ATP-dependent Clp protease adapter protein clpS,WLFVQRDSKE peptide
7OIQ,AAA,CCC,AP-2 complex subunit mu,F-BAR domain only protein 2
3GW1,A,C,ATP-dependent Clp protease adapter protein ClpS,FGG peptide
5M5R,A,C,Clathrin heavy chain 1,AP-2 complex subunit beta
3HS9,A,P,AP-2 complex subunit beta-1,"peptide from Intersectin-1, residues 841-851"
3G3P,A,D,ATP-dependent Clp protease adapter protein clpS,Peptide (NLE)LFVQRDSKE
2R0Y,A,B,Chromatin structure-remodeling complex protein RSC4,Histone H3 peptide
