pdb_id,chain_a,chain_b,molecule_a,molecule_b
2BKK,A,B,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE,DESIGNED ANKYRIN REPEAT INHIBITOR AR_3A
6MEW,A,B,DNA-binding protein RFXANK,RFX7 peptide
3TWS,A,E,Tankyrase-2,human TERF1
3TWT,A,E,Tankyrase-2,human MCL1
3TWV,A,E,Tankyrase-2,human NUMA1
5CER,A,B,Bd0816,Bd3460
5CEC,A,B,Bd3459,Bd3460
5CED,A,B,Bd3459,Bd3460
5YBU,A,B,KN motif and ankyrin repeat domain-containing protein 1,Kinesin-like protein KIF21A
3TWR,A,E,Tankyrase-2,SH3 domain-binding protein 2
3TWW,A,C,Tankyrase-2,human LNPEP
6X23,A,B,mbSHANK1 protein,G protein-activated inward rectifier potassium channel 3
5W7I,A,B,Palmitoyltransferase ZDHHC17,Snap25b-111-120
5W7J,A,B,Palmitoyltransferase ZDHHC17,Snap25b-111-120
3TWX,A,C,Tankyrase-2,human FNBP1
5W2J,A,F,"Glutaminase kidney isoform, mitochondrial",unidentified peptide
8SR6,A,B,Eukaryotic huntingtin interacting protein B,Histone 3 peptide
3V31,A,B,Ankyrin repeat family A protein 2,Histone deacetylase 4
5YAY,A,B,KN motif and ankyrin repeat domains 1,Kinesin-like protein KIF21A
3V30,A,B,DNA-binding protein RFXANK,DNA-binding protein RFX5
6YX2,A,C,SH3 and multiple ankyrin repeat domains protein 1,PWW-THR-ARG-LEU
6YX0,A,C,SH3 and multiple ankyrin repeat domains protein 1,PWQ-THR-ARG-LEU
7A00,A,C,SH3 and multiple ankyrin repeat domains protein 1,L6F mutant of C-terminal hexapeptide from Guanylate kinase-associated protein
3UXG,A,B,DNA-binding protein RFXANK,Histone deacetylase 4
