pdb_id,chain_a,chain_b,molecule_a,molecule_b
1EMT,L,H,IGG ANTIBODY (LIGHT CHAIN),IGG ANTIBODY (HEAVY CHAIN)
3BPC,A,B,"Fab, antibody fragment (IgG1k), light chain","Fab, antibody fragment (IgG1k), heavy chain"
2R2B,A,B,"Fab, antibody fragment (IgG1k), light chain","Fab, antibody fragment (IgG1k), heavy chain"
1KEG,L,H,Anti-(6-4) photoproduct antibody 64M-2 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-2 Fab (heavy chain)
6IDH,L,H,Anti-(6-4) photoproduct antibody 64M-5 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-5 Fab (heavy chain)
2R23,A,B,"Fab, antibody fragment (IgG1k), light chain","Fab, antibody fragment (IgG1k), heavy chain"
3VW3,L,H,Anti-(6-4) photoproduct antibody 64M-5 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-5 Fab (heavy chain)
2Z93,A,B,Anti-ciguatoxin antibody 10C9 Fab heavy chain,Anti-ciguatoxin antibody 10C9 Fab light chain
1F4W,L,H,"ANTIBODY S-20-4, FAB FRAGMENT, LIGHT CHAIN","ANTIBODY S-20-4, FAB FRAGMENT, HEAVY CHAIN"
1JGV,L,H,Antibody Light Chain,Antibody Heavy Chain
6IDG,L,H,Anti-(6-4) photoproduct antibody 64M-5 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-5 Fab (heavy chain)
2R1Y,A,B,"Fab, antibody fragment (IgG1k), light chain","Fab, antibody fragment (IgG1k), heavy chain"
1DQQ,A,B,ANTI-LYSOZYME ANTIBODY HYHEL-63 (LIGHT CHAIN),ANTI-LYSOZYME ANTIBODY HYHEL-63 (HEAVY CHAIN)
1JGU,L,H,Antibody Light Chain,Antibody Heavy Chain
2R1X,A,B,"Fab, antibody fragment (IgG1k), light chain","Fab, antibody fragment (IgG1k), heavy chain"
1F4X,L,H,"ANTIBODY S-20-4, FAB FRAGMENT, LIGHT CHAIN","ANTIBODY S-20-4, FAB FRAGMENT, HEAVY CHAIN"
1UM6,L,H,"antibody 21h3, L chain","antibody 21h3, H chain"
