pdb_id,chain_a,chain_b,molecule_a,molecule_b
5JYM,A,B,Cadherin-3,Antibody scFv TSP11
8EGW,A,B,Protocadherin-16,Protocadherin Fat 4
4R10,A,B,Protein humpback-2,Cadherin-related hmr-1
3FF8,A,C,Epithelial cadherin,Killer cell lectin-like receptor subfamily G member 1
2OMU,A,B,Internalin-A,Epithelial-cadherin
2OMX,A,B,Internalin-A,Epithelial-cadherin
3FF7,A,C,Epithelial cadherin,Killer cell lectin-like receptor subfamily G member 1
2OMZ,A,B,Internalin-A,Epithelial-cadherin
1O6S,A,B,INTERNALIN A,E-CADHERIN
2OMT,A,B,Internalin-A,Epithelial-cadherin; E-Cad/CTF1
8H62,A,B,Internalin A,Cadherin-1
3L6X,A,B,Catenin delta-1,E-cadherin
2OMV,A,B,Internalin-A,Epithelial-cadherin
2OMY,A,B,Internalin-A,Epithelial-cadherin
4APX,A,B,CADHERIN-23,PROTOCADHERIN-15
4AXW,A,B,CADHERIN-23,PROTOCADHERIN-15
4AQA,A,B,CADHERIN-23,PROTOCADHERIN-15
4AQE,A,B,CADHERIN-23,PROTOCADHERIN-15
4XXW,A,C,Protocadherin-15,Cadherin-23
9YBQ,A,M,Cadherin domain protein,ALA-GLY-TYR-THR-ASP
2OMW,A,B,Internalin-A,Epithelial-cadherin
9Y9W,A,M,Cadherin domain protein,Ala-Gly-Trp-Thr-Asp (AGWTD)
7QCR,A,C,Afadin,Envelope small membrane protein
5XA5,A,B,Alpha-catenin-like protein hmp-1,Beta-catenin-like protein hmp-2
7X2E,A,B,Harmonin,Cadherin-related family member 2
