pdb_id,chain_a,chain_b,molecule_a,molecule_b
6N9J,A,C,Clostripain-related protein,Covalently bound peptide inhibitor
4JJE,A,B,Caspase-3,Caspase inhibitor
2J30,A,B,CASPASE-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
2J31,A,B,CASPASE-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
2J32,A,B,CASPASE-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
2J33,A,B,CASPASE-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4HVA,A,C,Caspase-6,VEID Inhibitor
1F1J,A,C,CASPASE-7 PROTEASE,ACE-ASP-GLU-VAL-ASP-CHO
3ITN,A,B,Caspase-3,ACETYL-ASP-GLU-VAL-ASP-CHLOROMETHYL KETONE inhibitor
3PD1,A,B,Caspase-3,Inhibitor Ac-DEVD-CMK
4QTY,A,F,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
3PCX,A,B,Caspase-3,Inhibitor Ac-DEVD-CMK
3PD0,A,B,Caspase-3,INHIBITOR AC-DEVD-CMK
5IBR,A,B,Caspase-3,ACE-ASP-GLU-VAL-ASK
4QUD,A,C,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4QUL,A,F,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4EHA,A,B,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4EHK,A,B,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4EHL,A,B,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
1CP3,A,C,APOPAIN,ACETYL-ASP-VAL-ALA-ASP-FLUOROMETHYLKETONE
4JR0,A,C,Procaspase-3,Ac-DEVD-CMK
4JR2,A,C,Procaspase-7,Ac-DEVD-CMK
4JR1,A,C,Procaspase-7,Ac-DEVD-CMK
4QU8,A,F,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
4QUA,A,D,Caspase-3,ACE-ASP-GLU-VAL-ASP-CHLOROMETHYLKETONE INHIBITOR
