pdb_id,chain_a,chain_b,molecule_a,molecule_b
7BEE,A,C,Collagen-binding protein,21er collagen model peptide
7BDU,A,C,Collagen-binding protein,21er collagen model peptide
4AU2,A,E,"SERPIN PEPTIDASE INHIBITOR, CLADE H (HEAT SHOCK PROTEIN 47), MEMBER 1, (COLLAGEN BINDING PROTEIN 1)",15ER COLLAGEN MODEL PEPTIDE 15-R8
8P6J,BBB,AAA,"Antiphagocytic M protein, type 3",collagen II-27 Toolkit peptide (JDM238)
9VB8,A,B,Integrin alpha-2,Collagen model peptide
2V5F,A,X,PROLYL 4-HYDROXYLASE SUBUNIT ALPHA-1,HEXA-HISTIDINE PEPTIDE
5CJB,A,B,Osteoclast-associated immunoglobulin-like receptor,collagen-like peptide
4BTB,A,C,PROLYL 4-HYDROXYLASE SUBUNIT ALPHA-1,POLY PROLINE PEPTIDE
7BFI,A,E,Collagen-binding protein,15R8 collagen model peptide
4BT9,A,C,PROLYL 4-HYDROXYLASE SUBUNIT ALPHA-1,(PRO-PRO-GLY)3 PEPTIDE
9HRE,A,E,Prolyl 4-hydroxylase subunit alpha-1,Synthetic peptide PRO-HYP-GLY-PRO-ALA-GLY-PRO-HYP-GLY
9HPQ,A,E,Prolyl 4-hydroxylase subunit alpha-1,Synthetic peptide PRO-PRO-GLY-PRO-ARG-GLY-PRO-PRO-GLY
9H3D,A,D,DUF4183 domain-containing protein,Exosporium protein ExsF
9HT8,A,E,Prolyl 4-hydroxylase subunit alpha-1,GLY-PRO-ALA-GLY-PRO-PRO
2WUH,A,B,DISCOIDIN DOMAIN RECEPTOR 2,COLLAGEN PEPTIDE
3I91,A,C,Chromobox protein homolog 8,H3K9 peptide
4LOR,A,B,Complement C1s subcomponent heavy chain,collagen-like peptide from C1q
9XHR,A,C,Cathepsin B,ACE-DAR-DLY-DTY-DTY-GLY-0QE
8YV3,A,B,Collagen alpha-1(I) chain,Collagen alpha-2(I) chain
4FVL,A,C,Collagenase 3,"Collagenase 3, pro-domain peptide"
3POB,A,B,Mannan-binding lectin serine protease 1,MBL collagen-like peptide
5OU9,A,C,Platelet glycoprotein VI,(GPO)3
1AZZ,A,C,COLLAGENASE,ECOTIN
5OU8,A,C,Platelet glycoprotein VI,(GPO)5
