pdb_id,chain_a,chain_b,molecule_a,molecule_b
1KEG,L,H,Anti-(6-4) photoproduct antibody 64M-2 Fab (light chain),Anti-(6-4) photoproduct antibody 64M-2 Fab (heavy chain)
1N7M,H,L,"Germline Metal Chelatase Catalytic Antibody, chain H","Germline Metal Chelatase Catalytic Antibody, chain L"
1AJ7,L,H,IMMUNOGLOBULIN 48G7 FAB (LIGHT CHAIN),IMMUNOGLOBULIN 48G7 FAB (HEAVY CHAIN)
1MNU,L,H,PROTEIN (IGG2A-KAPPA ANTIBODY MN12H2 (LIGHT CHAIN)),PROTEIN (IGG2A-KAPPA ANTIBODY MN12H2 (HEAVY CHAIN))
1YEI,L,H,PROTEIN (IG ANTIBODY D2.3 (LIGHT CHAIN)),PROTEIN (IG ANTIBODY D2.3 (HEAVY CHAIN))
1YEK,L,H,PROTEIN (IG ANTIBODY D2.3 (LIGHT CHAIN)),PROTEIN (IG ANTIBODY D2.3 (HEAVY CHAIN))
9EZU,A,B,V-set and immunoglobulin domain-containing protein 4,single-domain antibody VHH_h1
1YEJ,L,H,PROTEIN (IG ANTIBODY D2.3 (LIGHT CHAIN)),PROTEIN (IG ANTIBODY D2.3 (HEAVY CHAIN))
1KN2,L,H,IG ANTIBODY D2.3 (LIGHT CHAIN),IG ANTIBODY D2.3 (HEAVY CHAIN)
1KN4,L,H,IG ANTIBODY D2.3 (LIGHT CHAIN),IG ANTIBODY D2.3 (HEAVY CHAIN)
1OQO,A,C,immunoglobulin gamma-1 heavy chain constant region,Minimized version of Protein A (Z34C)
1L6X,A,B,IMMUNOGLOBULIN GAMMA-1 HEAVY CHAIN CONSTANT REGION,Minimized B-domain of Protein A Z34C
1DQM,L,H,ANTI-LYSOZYME ANTIBODY HYHEL-63 (LIGHT CHAIN),ANTI-LYSOZYME ANTIBODY HYHEL-63 (HEAVY CHAIN)
