pdb_id,chain_a,chain_b,molecule_a,molecule_b
2QOS,C,A,"Complement component 8, gamma polypeptide",Complement component C8 alpha chain
2RD7,A,C,Complement component C8 alpha chain,Complement component C8 gamma chain
1GHQ,A,B,COMPLEMENT C3,CR2/CD121/C3D/EPSTEIN-BARR VIRUS RECEPTOR
4LOR,A,B,Complement C1s subcomponent heavy chain,collagen-like peptide from C1q
9Y6C,A,B,Complement C5,peptide Ra30303
6XZU,A,B,nanobody hC3Nb1,Complement C3
3POB,A,B,Mannan-binding lectin serine protease 1,MBL collagen-like peptide
5B4P,A,B,repebody,C5a anaphylatoxin
2WY7,A,Q,COMPLEMENT C3D FRAGMENT,IGG-BINDING PROTEIN
4K12,A,B,Complement factor H,Choline binding protein A
2WY8,A,Q,COMPLEMENT C3D FRAGMENT,IGG-BINDING PROTEIN
3D5S,A,C,Complement C3,Fibrinogen-binding protein
3D5R,A,C,Complement C3,Fibrinogen-binding protein
2GOX,A,B,Complement C3,Fibrinogen-binding protein
2XQW,A,C,COMPLEMENT C3,COMPLEMENT FACTOR H
3OXU,A,D,Complement C3,HF protein
4ONT,D,A,Complement factor H,Complement C3d fragment
4ZH1,A,D,Complement C3,Complement factor H
3RJ3,A,D,Complement C3d fragment,Complement Factor H-related protein 1
6JV7,A,B,Chimeric-rC5a,D-anaphylatoxin C5a
7AD7,A,C,Complement C5,K8 peptide
9N1Z,A,B,Complement C3dg fragment,Complement factor H-related protein 2
8CN6,A,G,CD59 glycoprotein,Cyclic peptide CP-06
6RMU,A,C,Complement C3,Immunoglobulin-binding protein Sbi
8SM0,C,G,Complement receptor type 2,Envelope glycoprotein gp350
