pdb_id,chain_a,chain_b,molecule_a,molecule_b
2QWN,A,B,Heat shock cognate 71 kDa protein,Putative tyrosine-protein phosphatase auxilin
2QWQ,A,B,Heat shock cognate 71 kDa protein,Putative tyrosine-protein phosphatase auxilin
2QWR,A,B,Heat shock cognate 71 kDa protein,Putative tyrosine-protein phosphatase auxilin
2QWO,A,B,Heat shock cognate 71 kDa protein,Putative tyrosine-protein phosphatase auxilin
2QWP,A,B,Heat shock cognate 71 kDa protein,Putative tyrosine-protein phosphatase auxilin
1US7,A,B,HEAT SHOCK PROTEIN HSP82,HSP90 CO-CHAPERONE CDC37
3CQX,A,C,Heat shock cognate 71 kDa protein,BAG family molecular chaperone regulator 2
4PSI,A,D,PIH1 domain-containing protein 1,Telomere length regulation protein TEL2 homolog
4DRI,A,B,Peptidyl-prolyl cis-trans isomerase FKBP5,Serine/threonine-protein kinase mTOR
4DRH,A,B,Peptidyl-prolyl cis-trans isomerase FKBP5,Serine/threonine-protein kinase mTOR
4DRJ,A,B,Peptidyl-prolyl cis-trans isomerase FKBP4,Serine/threonine-protein kinase mTOR
