pdb_id,chain_a,chain_b,molecule_a,molecule_b
5MR5,A,C,Neurturin,GDNF family receptor alpha-2
5MR4,A,C,Neurturin,GDNF family receptor alpha-2
6EJA,A,B,Xylosyltransferase 1,Protein AMBP
8W5Z,A,B,Protein-tyrosine sulfotransferase (Fragment),Madanin Y54-peptide
6EJ9,A,B,Xylosyltransferase 1,Protein AMBP
6EJE,A,B,Xylosyltransferase 1,Syndecan-1
6EJC,A,B,Xylosyltransferase 1,Protein AMBP
6EJ8,A,B,Xylosyltransferase 1,Protein AMBP
6EJ7,A,B,Xylosyltransferase 1,Protein AMBP
8E07,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
8E08,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1Y,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O26,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O2D,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O2F,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O2J,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1R,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1T,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O29,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O2H,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O2K,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1V,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1W,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
9O1Z,A,B,Heparanase 50 kDa subunit,Heparanase 8 kDa subunit
