pdb_id,chain_a,chain_b,molecule_a,molecule_b
3N93,A,C,Maltose binding protein-CRFR2 alpha,Urocortin-3
5II0,A,D,Calcitonin receptor,Calcitonin
3IOL,A,B,Glucagon-like peptide 1 receptor,Glucagon
3N7S,A,C,Calcitonin gene-related peptide type 1 receptor,Receptor activity-modifying protein 1
2G49,A,C,Insulin-degrading enzyme,glucagon preproprotein
6FJ3,A,B,"Parathyroid hormone/parathyroid hormone-related peptide receptor,Parathyroid hormone/parathyroid hormone-related peptide receptor,GlgA glycogen synthase,Parathyroid hormone/parathyroid hormone-related peptide receptor",Parathyroid hormone
2QKH,B,A,Glucose-dependent insulinotropic polypeptide,Glucose-dependent insulinotropic polypeptide receptor
1HWG,A,B,GROWTH HORMONE,GROWTH HORMONE BINDING PROTEIN
3EHU,A,C,FUSION PROTEIN OF CRFR1 EXTRACELLULAR DOMAIN AND MBP,Corticoliberin
1AXI,A,B,GROWTH HORMONE,GROWTH HORMONE RECEPTOR
4RWG,A,D,"Maltose-binding periplasmic protein, Receptor activity-modifying protein 1, Calcitonin gene-related peptide type 1 receptor fusion protein",CGRP analog
1K3A,A,B,insulin-like growth factor 1 receptor,insulin receptor substrate 1
6PFO,A,C,"Maltodextrin-binding protein,Calcitonin receptor",Calcitonin
6D1U,A,D,"Maltose-binding periplasmic protein,Receptor activity-modifying protein 1,Calcitonin gene-related peptide type 1 receptor",ADM2
4ZGM,A,B,Glucagon-like peptide 1 receptor,"Semaglutide peptide backbone; 8Aib,34R-GLP-1(7-37)-OH"
5UFS,A,C,Ancestral Glucocorticoid Receptor2,SHP NR Box 1 Peptide
5AXI,A,E,E3 ubiquitin-protein ligase CBL-B,Cblin
3H3G,A,B,Fusion protein of Maltose-binding periplasmic domain and human parathyroid hormone receptor extracellular domain,Parathyroid hormone-related protein
3C59,A,B,Glucagon-like peptide 1 receptor,Exendin-4
5OTT,A,B,Glucagon-like peptide 1 receptor,Exendin-4
7BRI,A,L,Atrial natriuretic peptide receptor 1,Natriuretic peptide DNP
3TUV,A,B,Insulin-degrading enzyme,Peptide
3C5T,A,B,Glucagon-like peptide 1 receptor,Exendin-4
7UZO,A,B,Parathyroid hormone/parathyroid hormone-related peptide receptor,Peptide from Parathyroid hormone-related protein
7E5E,A,E,Isoform Gnas-2 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,GD20
