pdb_id,chain_a,chain_b,molecule_a,molecule_b
5YAH,B,C,Pollen receptor-like kinase 6,Protein LURE 1.2
5Y9W,A,C,Pollen receptor-like kinase 6,Protein LURE 1.2
7V8E,A,C,RING-type E3 ubiquitin transferase,RanBP-type and C3HC4-type zinc finger-containing protein 1
6TME,A,C,Pollen-specific leucine-rich repeat extensin-like protein 1,Protein RALF-like 4
1A4Y,A,B,RIBONUCLEASE INHIBITOR,ANGIOGENIN
5IXT,A,B,Receptor-like protein kinase 5,Protein IDA
8WEE,A,B,MDIS1-interacting receptor like kinase 2,SERINE-RICH ENDOGENOUS PEPTIDE (SCOOP)
4QXF,A,C,"Leucine-rich repeat-containing G-protein coupled receptor 4, Variable lymphocyte receptor B",R-spondin-1
6JBU,A,B,Adhesion G protein-coupled receptor L3,Leucine-rich repeat transmembrane protein FLRT3
7N3T,A,C,High affinity nerve growth factor receptor,Designed TrkA-binding miniprotein
4LXR,A,J,Protein toll,Protein spaetzle C-106
4YJL,A,G,Adenomatous polyposis coli protein,APC membrane recruitment protein 1
7R86,A,C,Reticulon-4 receptor,Vasculostatin-120
1MFG,A,B,Erb-B2 INTERACTING PROTEIN,Erb-B2 carboxyl-terminal fragment
5B4P,A,B,repebody,C5a anaphylatoxin
1MFL,A,B,Erb-B2 INTERACTING PROTEIN,PHOSPHORYLATED Erb-B2 carboxyl-terminal fragment.
7QTP,A,B,Protein scribble homolog,Non-structural protein 1
2V9T,A,B,ROUNDABOUT HOMOLOG 1,SLIT HOMOLOG 2 PROTEIN N-PRODUCT
8GH7,A,D,E3 ubiquitin-protein ligase XIAP,BIR3 inhibitor MAA-CHG-PRO-ZHW
4G8A,A,C,Toll-like receptor 4,Lymphocyte antigen 96
8S1R,AAA,EaE,SH3 and multiple ankyrin repeat domains protein 1,F-box only protein 41
7MLM,A,C,"Toll-like receptor 4,Variable lymphocyte receptor B",Lymphocyte antigen 96
1WWW,V,X,PROTEIN (NERVE GROWTH FACTOR),PROTEIN (TRKA RECEPTOR)
4J4L,A,C,"Internalin B,REPEAT MODULES,Variable lymphocyte receptor B",Interleukin-6
3VQ2,A,C,Toll-like receptor 4,Lymphocyte antigen 96
