pdb_id,chain_a,chain_b,molecule_a,molecule_b
3SRJ,A,C,"Apical membrane antigen 1, AMA1",R1 peptide
3ZWZ,A,B,"APICAL MEMBRANE ANTIGEN 1, AMA1",RHOPTRY NECK PROTEIN 2
2PC4,A,H,Fructose-bisphosphate aldolase,PbTRAP
8PWV,A,B,Reticulocyte-binding protein homolog 5,monoclonal antibody MAD8-502
8PWW,A,B,Reticulocyte-binding protein homolog 5,scFv fragment for antibody MAD8-151
4Z80,A,C,EGF family domain-containing protein,Cytoadherence-linked asexual protein
2Z8W,A,C,Apical membrane antigen 1,New antigen receptor variable domain
2Z8V,A,C,Apical membrane antigen 1,New antigen receptor variable domain
2NQD,A,B,Chagasin,Cathepsin L
1XDH,A,C,Plasmepsin 2,Pepstatin
7JZK,A,B,LAIR1 ecotodomain from MGD21 antibody,Rifin
9HZK,B,A,Circumsporozoite protein,sdAb9
9HZJ,B,A,Circumsporozoite protein,sdAb1
1M43,A,C,plasmepsin II,Pepstatin
3CBJ,A,B,Cathepsin B,Chagasin
7S7R,A,B,Merozoite surface protein P12,Nanobody G7
4YIZ,A,B,Apical membrane antigen AMA1,"Rhoptry neck protein 2, putative"
3FJU,A,B,Carboxypeptidase A1,Carboxypeptidase A inhibitor
4CBU,A,G,Actin-1,Gelsolin
6I4K,A,G,Actin-1,Gelsolin
6I4F,A,G,Actin-1,Gelsolin
6I4L,A,G,Actin-1,Gelsolin
5MVV,A,G,Actin-1,Gelsolin
6I4H,A,G,Actin-1,Gelsolin
6I4J,A,G,Actin-1,Gelsolin
