pdb_id,chain_a,chain_b,molecule_a,molecule_b
1G1S,A,C,P-SELECTIN,PSGL-1 PEPTIDE
4KTY,A,C,Coagulation factor XIII A chain,Peptide-like ligand
4F27,A,Q,Clumping factor B,peptide from Fibrinogen alpha chain
5PAJ,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
2WOK,A,B,CLAVULANIC ACID BIOSYNTHESIS OLIGOPEPTIDE BINDING PROTEIN 2,Kininogen-1
6G0Q,A,B,Bromodomain-containing protein 4,Erythroid transcription factor
7Q5U,AAA,GGG,Tyrosine-protein kinase SYK,T-cell surface glycoprotein CD3 gamma chain
7Q5T,AAA,GGG,Tyrosine-protein kinase SYK,High affinity immunoglobulin epsilon receptor subunit gamma
4ASQ,A,P,ANGIOTENSIN-CONVERTING ENZYME,BRADYKININ
4ASR,A,P,ANGIOTENSIN-CONVERTING ENZYME,BRADYKININ
5PAG,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAR,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAC,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAK,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAO,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAX,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAE,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAT,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAV,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
1TAW,A,B,TRYPSIN,PROTEASE INHIBITOR DOMAIN OF ALZHEIMER'S AMYLOID BETA-PROTEIN PRECURSOR
3JQ5,A,B,Phospholipase A2 isoform 3,Amyloid Beta Peptide
7WFY,C,A,Guanine nucleotide exchange factor VAV2,Amyloid beta A4 protein-binding family B member 1 (protein)
3JQL,A,B,Acidic phospholipase A2 3 (Fragment),Amyloid Beta Peptide
5ONP,A,B,Thermolysin,Amyloid-beta A4 protein
