pdb_id,chain_a,chain_b,molecule_a,molecule_b
2BBA,A,P,Ephrin type-B receptor 4,Agonist peptide
5UFS,A,C,Ancestral Glucocorticoid Receptor2,SHP NR Box 1 Peptide
7TXF,A,F,Acetylcholine-binding protein,Alpha-conotoxin VxXXB
3C59,A,B,Glucagon-like peptide 1 receptor,Exendin-4
3C5T,A,B,Glucagon-like peptide 1 receptor,Exendin-4
6GGG,A,B,Mineralocorticoid receptor,NCOA1 peptide
7BRI,A,L,Atrial natriuretic peptide receptor 1,Natriuretic peptide DNP
7YXD,A,C,Ancestral Glucocorticoid Receptor2,SHP NR Box 1 Peptide
6W9M,A,B,Glucocorticoid Receptor,Nuclear receptor subfamily 0 group B member 2
3N7Y,A,D,Growth factor receptor-bound protein 2,20-membered peptide-like macrocyclic ligand
4MS3,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
7YXN,A,R,Ancestral Glucocorticoid Receptor2,SHP NR Box 1 Peptide
7YXR,A,R,Ancestral Glucocorticoid Receptor2,SHP NR Box 1 Peptide
4OD7,A,D,Thiol:disulfide interchange protein,(ACE)PWATCDS(NH2) Peptide
4MS1,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
4MS4,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
4MQF,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
4MR8,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
1T7R,A,B,Androgen receptor,FxxLF motif peptide
4MQE,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
1OVL,A,B,"Orphan nuclear receptor NURR1 (MSE 414, 496, 511)","Orphan nuclear receptor NURR1 (MSE 496, 511)"
4MR9,A,B,Gamma-aminobutyric acid type B receptor subunit 1,Gamma-aminobutyric acid type B receptor subunit 2
3N8M,A,B,Growth factor receptor-bound protein 2,PEPTIDE
1VWR,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWI,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
