pdb_id,chain_a,chain_b,molecule_a,molecule_b
3A1Y,A,G,50S ribosomal protein P1 (L12P),Acidic ribosomal protein P0
4ZOX,A,B,Ribosome assembly protein SQT1,60S ribosomal protein L10
3A1P,A,B,Ribosome maturation factor rimM,30S ribosomal protein S19
1ZAW,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
1ZAV,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
4NUT,A,B,13 kDa ribonucleoprotein-associated protein,Ribosome assembly 1 protein
1ZAX,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
1NMU,A,B,maltose-binding periplasmic protein,60S ribosomal protein L30
5TQB,A,B,60S ribosomal protein L4-like protein,Assembly chaperone of ribosomal protein L4 (Acl4)
3IMQ,A,J,N utilization substance protein B,30S ribosomal protein S10
3CJS,A,B,Ribosomal protein L11 methyltransferase,50S ribosomal protein L11
6SJ5,A,C,Ribosomal silencing factor RsfS,50S ribosomal protein L14
4ODN,A,B,Peptidyl-prolyl cis-trans isomerase SlyD,30S ribosomal protein S2
5YV5,A,B,ATPase RIL,Archaeal ribosomal stalk protein aP1
3W1Y,A,C,"Microtubule-associated protein 1A/1B, light chain 3",30S ribosomal protein S10
3CJR,A,B,Ribosomal protein L11 methyltransferase,50S ribosomal protein L11
7JVS,B,C,Ribosomal-processing cysteine protease Prp,L27 ribosomal peptide
8HTD,A,B,NAD(+)--protein-threonine ADP-ribosyltransferase,Ubiquitin
4ODM,A,E,Peptidyl-prolyl cis-trans isomerase SlyD,30S ribosomal protein S2
3D3B,A,J,N utilization substance protein B,30S ribosomal protein S10
7OXG,A,C,"Peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase",30S ribosomal protein S2
5WXL,A,B,Ribosome biogenesis protein RPF2,Regulator of ribosome biosynthesis
4BXF,A,C,BIFUNCTIONAL LYSINE-SPECIFIC DEMETHYLASE AND HISTIDYL-HYDROXYLASE MINA,60S RIBOSOMAL PROTEIN L27A
