pdb_id,chain_a,chain_b,molecule_a,molecule_b
1CGI,E,I,ALPHA-CHYMOTRYPSINOGEN,PANCREATIC SECRETORY TRYPSIN INHIBITOR (KAZAL TYPE) VARIANT 3
1CGJ,E,I,ALPHA-CHYMOTRYPSINOGEN,PANCREATIC SECRETORY TRYPSIN INHIBITOR (KAZAL TYPE) VARIANT 4
3M7Q,A,B,Cationic trypsin,Kunitz-type proteinase inhibitor SHPI-1
3RDZ,A,C,Cationic trypsin,BWI-1=PROTEASE inhibitor/trypsin inhibitor
1EAI,A,C,PROTEIN (ELASTASE),PROTEIN (CHYMOTRYPSIN/ELASTASE ISOINHIBITOR 1)
3DY0,A,B,N-terminus Plasma serine protease inhibitor,C-terminus Plasma serine protease inhibitor
1TGS,Z,I,TRYPSINOGEN,PANCREATIC SECRETORY TRYPSIN INHIBITOR (KAZAL TYPE)
3SGB,E,I,PROTEINASE B (SGPB),TURKEY OVOMUCOID INHIBITOR (OMTKY3)
1D6R,A,I,TRYPSINOGEN,BOWMAN-BIRK PROTEINASE INHIBITOR PRECURSOR
5J4S,A,B,Chymotrypsinogen A,Bowman-Birk type proteinase inhibitor
5J4Q,A,B,Chymotrypsinogen A,Bowman-Birk type proteinase inhibitor
1R0R,E,I,subtilisin carlsberg,Ovomucoid
3D65,I,E,Textilinin,Cationic trypsin
1AN1,E,I,TRYPSIN,TRYPTASE INHIBITOR
1GL1,A,I,ALPHA-CHYMOTRYPSIN,PROTEASE INHIBITOR LCMI II
1TAB,E,I,TRYPSIN,BOWMAN-BIRK TYPE PROTEINASE INHIBITOR
1ACB,E,I,ALPHA-CHYMOTRYPSIN,Eglin C
1SFI,A,I,TRYPSIN,Trypsin inhibitor 1
2F91,A,B,hepatopancreas trypsin,Serine protease inhibitor I/II
2VU8,E,I,TRYPSIN,PACIFASTIN-RELATED SERINE PROTEASE INHIBITOR
1LDT,T,L,TRYPSIN,TRYPTASE INHIBITOR
1TEC,E,I,THERMITASE,EGLIN C
2SGP,E,I,PROTEINASE B,OVOMUCOID INHIBITOR
1SGE,E,I,Streptogrisin B,Ovomucoid
