pdb_id,chain_a,chain_b,molecule_a,molecule_b
1RST,B,P,STREPTAVIDIN,STREP-TAG PEPTIDE
1RSU,B,P,STREPTAVIDIN,STREP-TAG II PEPTIDE
1VWB,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWF,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1SLD,B,P,STREPTAVIDIN,CYCLO-AC-CHPQFC-NH2
1VWN,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWI,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWG,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWM,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1SLE,B,M,STREPTAVIDIN,AC-CHPQGPPC-NH2
1VWC,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWO,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWH,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWD,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWP,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWJ,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWR,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWA,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1STS,B,M,STREPTAVIDIN,FCHPQNT-NH2
1VWE,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1SLG,B,M,STREPTAVIDIN,FCHPQNT
1STR,B,M,STREPTAVIDIN,AC-CHPQNT-NH2
1VWQ,B,P,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWL,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
1VWK,B,M,STREPTAVIDIN,PEPTIDE LIGAND CONTAINING HPQ
