pdb_id,chain_a,chain_b,molecule_a,molecule_b
1TPA,E,I,ANHYDRO-TRYPSIN,BOVINE PANCREATIC TRYPSIN INHIBITOR
2PTC,E,I,BETA-TRYPSIN,TRYPSIN INHIBITOR
1D0D,A,B,ANTICOAGULANT PROTEIN,PANCREATIC TRYPSIN INHIBITOR
3TPI,Z,I,TRYPSINOGEN,BOVINE PANCREATIC TRYPSIN INHIBITOR
2TGP,Z,I,TRYPSINOGEN,TRYPSIN INHIBITOR
3FP8,E,I,Anionic trypsin-2,Pancreatic trypsin inhibitor
1ZRB,A,B,thrombin,11-peptide hirudin fragment
3D4U,A,B,Carboxypeptidase B2,Carboxypeptidase inhibitor
3FP6,E,I,Anionic trypsin-2,Pancreatic trypsin inhibitor
1D6W,A,I,THROMBIN,DECAPEPTIDE INHIBITOR
4INH,A,J,Genome polyprotein,"peptide inhibitor, syc59"
1DOJ,A,B,ALPHA-THROMBIN,HIRUGEN
1XM1,A,H,thrombin,Hirudin
3BTK,E,I,PROTEIN (TRYPSIN),PROTEIN (PANCREATIC TRYPSIN INHIBITOR)
1TA2,A,B,thrombin,Hirudin
1TA6,A,B,thrombin,Hirudin
3LMS,A,B,Carboxypeptidase B2,Carboxypeptidase inhibitor
2TPI,Z,I,TRYPSINOGEN,TRYPSIN INHIBITOR
3BTF,E,I,PROTEIN (TRYPSIN),PROTEIN (PANCREATIC TRYPSIN INHIBITOR)
3BTG,E,I,PROTEIN (TRYPSIN),PROTEIN (PANCREATIC TRYPSIN INHIBITOR)
3BTH,E,I,PROTEIN (TRYPSIN),PROTEIN (PANCREATIC TRYPSIN INHIBITOR)
3BTQ,E,I,PROTEIN (TRYPSIN),PROTEIN (BOVINE PANCREATIC TRYPSIN INHIBITOR)
3BTT,E,I,PROTEIN (TRYPSIN),PROTEIN (PANCREATIC TRYPSIN INHIBITOR)
