pdb_id,chain_a,chain_b,molecule_a,molecule_b
9F79,A,C,Eukaryotic translation initiation factor 5,Eukaryotic translation initiation factor 2 subunit beta
5YT0,A,B,Probable translation initiation factor IF-2,Archaeal ribosomal stalk protein aP1
3WY9,A,C,Elongation factor 1-alpha,50S ribosomal protein L12
5ONS,A,B,Malignant T-cell-amplified sequence 1,Density-regulated protein
6MS4,A,B,Malignant T-cell-amplified sequence 1,Density-regulated protein
1IJE,A,B,elongation factor 1-alpha,elongation factor 1-beta
2B7C,A,B,Elongation factor 1-alpha,elongation factor-1 beta
1F60,A,B,ELONGATION FACTOR EEF1A,ELONGATION FACTOR EEF1BA
1G7C,A,B,ELONGATION FACTOR 1-ALPHA,ELONGATION FACTOR 1-BETA
3A1P,A,B,Ribosome maturation factor rimM,30S ribosomal protein S19
5O8W,A,B,Elongation factor 1-alpha,Elongation factor 1-beta
8PUT,A,E,Probable deoxyhypusine synthase,Translation initiation factor 5A
6SJ5,A,C,Ribosomal silencing factor RsfS,50S ribosomal protein L14
3A1Y,A,G,50S ribosomal protein P1 (L12P),Acidic ribosomal protein P0
3A5Z,A,B,Putative lysyl-tRNA synthetase,Elongation factor P
5NVM,A,B,Eukaryotic translation initiation factor 4E type 2,GRB10-interacting GYF protein 2
5NVL,A,B,Eukaryotic translation initiation factor 4E type 2,GRB10-interacting GYF protein 2
1PUU,A,B,lectin I A chain,lectin I B chain
2JGC,A,B,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E TYPE 2,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E-BINDING PROTEIN 1
5XLN,A,B,Eukaryotic translation initiation factor 4E type 2,"Threonine--tRNA ligase, cytoplasmic"
1ZAW,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
2JGB,A,B,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E TYPE 2,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E-BINDING PROTEIN 1
1ZAV,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
6FC3,A,B,Eukaryotic translation initiation factor 4E,Cap-associated protein CAF20
1ZAX,A,U,50S ribosomal protein L10,50S ribosomal protein L7/L12
