pdb_id,chain_a,chain_b,molecule_a,molecule_b
1TPA,E,I,ANHYDRO-TRYPSIN,BOVINE PANCREATIC TRYPSIN INHIBITOR
2PTC,E,I,BETA-TRYPSIN,TRYPSIN INHIBITOR
4TPI,Z,I,TRYPSINOGEN,BOVINE PANCREATIC TRYPSIN INHIBITOR
1BZX,E,I,PROTEIN (TRYPSIN),PROTEIN (BOVINE PANCREATIC TRYPSIN INHIBITOR)
3TPI,Z,I,TRYPSINOGEN,BOVINE PANCREATIC TRYPSIN INHIBITOR
2TGP,Z,I,TRYPSINOGEN,TRYPSIN INHIBITOR
1T7C,A,B,Chymotrypsin A,Pancreatic trypsin inhibitor
1T8L,A,B,Chymotrypsin A,Pancreatic trypsin inhibitor
1T8N,A,B,Chymotrypsin A,Pancreatic trypsin inhibitor
1T8M,A,B,Chymotrypsin A,Pancreatic trypsin inhibitor
1T8O,A,B,Chymotrypsin A,Pancreatic trypsin inhibitor
1P2O,A,B,Chymotrypsinogen A,Pancreatic trypsin inhibitor
2TPI,Z,I,TRYPSINOGEN,TRYPSIN INHIBITOR
1P2M,A,B,Chymotrypsinogen A,Pancreatic trypsin inhibitor
4BNR,A,I,HEPATOPANCREAS TRYPSIN,PANCREATIC TRYPSIN INHIBITOR
2R9P,A,E,Trypsin-3,Pancreatic trypsin inhibitor
3BTQ,E,I,PROTEIN (TRYPSIN),PROTEIN (BOVINE PANCREATIC TRYPSIN INHIBITOR)
3BTW,E,I,PROTEIN (TRYPSIN),PROTEIN (BOVINE PANCREATIC TRYPSIN INHIBITOR)
1P2J,A,I,"Trypsinogen, cationic",Pancreatic trypsin inhibitor
3BTD,E,I,PROTEIN (TRYPSIN),PROTEIN (BOVINE PANCREATIC TRYPSIN INHIBITOR)
2RA3,A,C,Trypsin-1,Pancreatic trypsin inhibitor
1D0D,A,B,ANTICOAGULANT PROTEIN,PANCREATIC TRYPSIN INHIBITOR
1P2I,A,I,"Trypsinogen, cationic",Pancreatic trypsin inhibitor
1P2K,A,I,"Trypsinogen, cationic",Pancreatic trypsin inhibitor
1P2Q,A,B,Chymotrypsinogen A,Pancreatic trypsin inhibitor
