pdb_id,chain_a,chain_b,molecule_a,molecule_b
7Q83,A,B,Exocyst complex component SEC3,Protein SSO2
2C5K,P,T,VACUOLAR PROTEIN SORTING PROTEIN 51,T-SNARE AFFECTING A LATE GOLGI COMPARTMENT PROTEIN 1
2C5I,P,T,VACUOLAR PROTEIN SORTING PROTEIN 51,T-SNARE AFFECTING A LATE GOLGI COMPARTMENT PROTEIN 1
5M4Y,A,B,Protein SSO2,Exocyst complex component SEC3
3ONL,A,C,Epsin-3,t-SNARE VTI1
6L03,A,F,Tyrosine-protein phosphatase non-receptor type 9,stxbp1-pY145 peptide
1JTH,A,B,SNAP25,syntaxin 1a
1XTG,A,B,NEUROTOXIN BONT/A,Synaptosomal-associated protein 25
2CJS,A,C,UNC-13 HOMOLOG A,REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS PROTEIN 2
1PCX,A,B,Protein transport protein Sec24,COPII-binding peptide of the protein transport protein BET1
4JEH,A,B,Syntaxin-binding protein 1,Syntaxin-1A
5F4E,A,B,Izumo sperm-egg fusion protein 1,Sperm-egg fusion protein Juno
4J79,A,B,Coatomer subunit beta',Spike glycoprotein
3FIE,A,C,BOTULINUM NEUROTOXIN TYPE F,fragment of Vesicle-associated membrane protein 2
5JBV,A,B,Ubiquitin,D-ubiquitin
3DDA,A,B,Botulinum neurotoxin A light chain,Synaptosomal-associated protein 25
3DDB,A,B,Botulinum neurotoxin A light chain,Synaptosomal-associated protein 25
5J8P,A,B,ubiquitin,D-ubiquitin
4B93,A,B,VESICLE-ASSOCIATED MEMBRANE PROTEIN 7,ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 27
4TXQ,A,C,Vacuolar protein sorting-associated protein VTA1 homolog,Charged multivesicular body protein 1b
6JLH,A,B,Secretagogin,Synaptosomal-associated protein 25
3FII,A,B,BOTULINUM NEUROTOXIN TYPE F,fragment of Vesicle-associated membrane protein 2
8IJ9,A,C,Ras-related protein Rab-6B,ELKS/Rab6-interacting/CAST family member 1
4J2C,A,B,Syntaxin-6,Vacuolar protein sorting-associated protein 51 homolog
8WHM,A,B,ERC protein 2,Pleckstrin homology-like domain family B member 2
