pdb_id,chain_a,chain_b,molecule_a,molecule_b
7EOW,A,B,von Willebrand factor,caplacizumab
4C2A,A,B,VON WILLEBRAND FACTOR,PLATELET GLYCOPROTEIN IB ALPHA CHAIN
7A6O,A,B,von Willebrand factor,VHH81 Nanobody fragment
3P72,A,B,Platelet glycoprotein Ib alpha chain,OS1 peptide
9VB8,A,B,Integrin alpha-2,Collagen model peptide
1MIZ,A,B,integrin beta3,TALIN
1MK7,A,B,Integrin Beta3,TALIN
2BRQ,A,C,FILAMIN A,INTEGRIN BETA-7 SUBUNIT
4WJK,A,B,Integrin alpha-5,Integrin beta-1
4HXJ,A,C,Proto-oncogene tyrosine-protein kinase Src,C-terminal 3-mer peptide from Integrin beta-3
2JF1,A,T,FILAMIN-A,INTEGRIN BETA-2 SUBUNIT
